Meeting ID,Topic,Host,Email,User Type,Department,Group,Start Time,End Time,Duration (hh:mm:ss),Participants,Phone,VoIP,3rd Party Audio,Video,Screen Sharing,Recording,CRC,Encryption
123 4567 8901,Hydraulics Exam,One Eyed Jack,jack@one.eyed.com, Licensed,,,"Apr 17, 2020 02:00 PM", 04:PM,02:00:00,5,,true,false,true,true,true,false,true,

Participant,Device,IP Address,Location,Network Type,Microphone,Speaker,Camera,Data Center,Connection Type,Join Time,Leave Time,Version,Audio (Receiving) Bitrate,Audio (Sending) Bitrate,Audio (Receiving) Latency,Audio (Sending) Latency,Audio (Receiving) Jitter,Audio (Sending) Jitter,Audio (Receiving) Packet Loss-Avg(Max),Audio (Sending) Packet Loss-Avg(Max),Video (Receiving) Bitrate,Video (Sending) Bitrate,Video (Receiving) Latency,Video (Sending) Latency,Video (Receiving) Jitter,Video (Sending) Jitter,Video (Receiving) Packet Loss-Avg(Max),Video (Sending) Packet Loss-Avg(Max),Video (Receiving) Resolution,Video (Sending) Resolution,Video (Receiving) Frame Rate,Video (Sending) Frame Rate,Screen Sharing (Receiving) Bitrate,Screen Sharing (Sending) Bitrate,Screen Sharing (Receiving) Latency,Screen Sharing (Sending) Latency,Screen Sharing (Receiving) Jitter,Screen Sharing (Sending) Jitter,Screen Sharing (Receiving) Packet Loss-Avg(Max),Screen Sharing (Sending) Packet Loss-Avg(Max),Screen Sharing (Receiving) Resolution,Screen Sharing (Sending) Resolution,Screen Sharing (Receiving) Frame Rate,Screen Sharing (Sending) Frame Rate,Zoom Min Cpu Usage,Zoom Avg Cpu Usage,Zoom Max Cpu Usage,System Max Cpu Usage,
Luigi,Windows,Public IP: 224.23.175.162 Local IP: 192.168.1.232,Trento (IT ),Wifi,Gruppo microfoni (Realtek High Definition Audio(SST)),Altoparlanti (Realtek High Definition Audio(SST)),,FR (Sub),UDP,01:54 PM,03:10 PM(Luigi got disconnected from the meeting.Reason: Network connection error. ),4.7.20133.0407,125 kbps,43 kbps,30 ms,181 ms,11 ms,40 ms,0.35 %(6.92 %),0.71 %(4.40 %),280 kbps,-,30 ms,-,9 ms,-,0.5 %(8.39 %),-(-),256*144,-,12 fps,-,272 kbps,272 kbps,30 ms,30 ms,12 ms,12 ms,-(-),-(-),1920*1030,1920*1030,16 fps,16 fps,18 %,25 %,32 %,54 %
Luigi,Windows,Public IP: 224.23.175.162 Local IP: 192.168.1.232,Trento (IT ),Wifi,Gruppo microfoni (Realtek High Definition Audio(SST)),Altoparlanti (Realtek High Definition Audio(SST)),,FR (Sub),UDP,03:12 PM,03:54 PM(Luigi left the meeting.Reason: left the meeting.),4.7.20133.0407,125 kbps,43 kbps,30 ms,181 ms,11 ms,40 ms,0.35 %(6.92 %),0.71 %(4.40 %),280 kbps,-,30 ms,-,9 ms,-,0.5 %(8.39 %),-(-),256*144,-,12 fps,-,272 kbps,272 kbps,30 ms,30 ms,12 ms,12 ms,-(-),-(-),1920*1030,1920*1030,16 fps,16 fps,18 %,25 %,32 %,54 %
Mario,Linux,Public IP: 215.72.148.181 Local IP: 192.168.1.138,Rovereto (IT ),Wifi,Gruppo microfoni (Realtek High Definition Audio(SST)),Altoparlanti (Realtek High Definition Audio(SST)),,FR (Sub),UDP,02:02 PM,02:16 PM(Mario got disconnected from the meeting.Reason: Network connection error. ),4.7.20133.0407,125 kbps,43 kbps,30 ms,181 ms,11 ms,40 ms,0.35 %(6.92 %),0.71 %(4.40 %),280 kbps,-,30 ms,-,9 ms,-,0.5 %(8.39 %),-(-),256*144,-,12 fps,-,272 kbps,272 kbps,30 ms,30 ms,12 ms,12 ms,-(-),-(-),1920*1030,1920*1030,16 fps,16 fps,18 %,25 %,32 %,54 %
Mario,Linux,Public IP: 215.72.148.181 Local IP: 192.168.1.138,Rovereto (IT ),Wifi,Gruppo microfoni (Realtek High Definition Audio(SST)),Altoparlanti (Realtek High Definition Audio(SST)),,FR (Sub),UDP,02:19 PM,03:02 PM(Mario got disconnected from the meeting.Reason: Network connection error. ),4.7.20133.0407,125 kbps,43 kbps,30 ms,181 ms,11 ms,40 ms,0.35 %(6.92 %),0.71 %(4.40 %),280 kbps,-,30 ms,-,9 ms,-,0.5 %(8.39 %),-(-),256*144,-,12 fps,-,272 kbps,272 kbps,30 ms,30 ms,12 ms,12 ms,-(-),-(-),1920*1030,1920*1030,16 fps,16 fps,18 %,25 %,32 %,54 %
Mario,Linux,Public IP: 215.72.148.181 Local IP: 192.168.1.138,Rovereto (IT ),Wifi,Gruppo microfoni (Realtek High Definition Audio(SST)),Altoparlanti (Realtek High Definition Audio(SST)),,FR (Sub),UDP,03:04 PM,03:50 PM(Mario got disconnected from the meeting.Reason: Network connection error. ),4.7.20133.0407,125 kbps,43 kbps,30 ms,181 ms,11 ms,40 ms,0.35 %(6.92 %),0.71 %(4.40 %),280 kbps,-,30 ms,-,9 ms,-,0.5 %(8.39 %),-(-),256*144,-,12 fps,-,272 kbps,272 kbps,30 ms,30 ms,12 ms,12 ms,-(-),-(-),1920*1030,1920*1030,16 fps,16 fps,18 %,25 %,32 %,54 %
Mario,Linux,Public IP: 215.72.148.181 Local IP: 192.168.1.138,Rovereto (IT ),Wifi,Gruppo microfoni (Realtek High Definition Audio(SST)),Altoparlanti (Realtek High Definition Audio(SST)),,FR (Sub),UDP,03:52 PM,03:55 PM(Mario got disconnected from the meeting.Reason: Network connection error. ),4.7.20133.0407,125 kbps,43 kbps,30 ms,181 ms,11 ms,40 ms,0.35 %(6.92 %),0.71 %(4.40 %),280 kbps,-,30 ms,-,9 ms,-,0.5 %(8.39 %),-(-),256*144,-,12 fps,-,272 kbps,272 kbps,30 ms,30 ms,12 ms,12 ms,-(-),-(-),1920*1030,1920*1030,16 fps,16 fps,18 %,25 %,32 %,54 %
Mario,Linux,Public IP: 215.72.148.181 Local IP: 192.168.1.138,Rovereto (IT ),Wifi,Gruppo microfoni (Realtek High Definition Audio(SST)),Altoparlanti (Realtek High Definition Audio(SST)),,FR (Sub),UDP,03:56 PM,04:00 PM(Mario left the meeting.Reason: Host closed the meeting. ),4.7.20133.0407,125 kbps,43 kbps,30 ms,181 ms,11 ms,40 ms,0.35 %(6.92 %),0.71 %(4.40 %),280 kbps,-,30 ms,-,9 ms,-,0.5 %(8.39 %),-(-),256*144,-,12 fps,-,272 kbps,272 kbps,30 ms,30 ms,12 ms,12 ms,-(-),-(-),1920*1030,1920*1030,16 fps,16 fps,18 %,25 %,32 %,54 %
Bowser,Windows,Public IP: 105.2.19.24 Local IP: 192.168.1.02,Verona (IT ),Wifi,Gruppo microfoni (Realtek High Definition Audio(SST)),Altoparlanti (Realtek High Definition Audio(SST)),,FR (Sub),UDP,02:15 PM,02:30 PM(Bowser got disconnected from the meeting.Reason: Network connection error. ),4.7.20133.0407,125 kbps,43 kbps,30 ms,181 ms,11 ms,40 ms,0.35 %(6.92 %),0.71 %(4.40 %),280 kbps,-,30 ms,-,9 ms,-,0.5 %(8.39 %),-(-),256*144,-,12 fps,-,272 kbps,272 kbps,30 ms,30 ms,12 ms,12 ms,-(-),-(-),1920*1030,1920*1030,16 fps,16 fps,18 %,25 %,32 %,54 %
Bowser,Windows,Public IP: 105.2.19.24 Local IP: 192.168.1.02,Verona (IT ),Wifi,Gruppo microfoni (Realtek High Definition Audio(SST)),Altoparlanti (Realtek High Definition Audio(SST)),,FR (Sub),UDP,02:54 PM,03:03 PM(Bowser got disconnected from the meeting.Reason: Network connection error. ),4.7.20133.0407,125 kbps,43 kbps,30 ms,181 ms,11 ms,40 ms,0.35 %(6.92 %),0.71 %(4.40 %),280 kbps,-,30 ms,-,9 ms,-,0.5 %(8.39 %),-(-),256*144,-,12 fps,-,272 kbps,272 kbps,30 ms,30 ms,12 ms,12 ms,-(-),-(-),1920*1030,1920*1030,16 fps,16 fps,18 %,25 %,32 %,54 %
Bowser,Windows,Public IP: 105.2.19.24 Local IP: 192.168.1.02,Verona (IT ),Wifi,Gruppo microfoni (Realtek High Definition Audio(SST)),Altoparlanti (Realtek High Definition Audio(SST)),,FR (Sub),UDP,03:12 PM,03:40 PM(Bowser got disconnected from the meeting.Reason: Network connection error. ),4.7.20133.0407,125 kbps,43 kbps,30 ms,181 ms,11 ms,40 ms,0.35 %(6.92 %),0.71 %(4.40 %),280 kbps,-,30 ms,-,9 ms,-,0.5 %(8.39 %),-(-),256*144,-,12 fps,-,272 kbps,272 kbps,30 ms,30 ms,12 ms,12 ms,-(-),-(-),1920*1030,1920*1030,16 fps,16 fps,18 %,25 %,32 %,54 %
